alias,canonical_label,notes
ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS,ASSISTANT SECRETARY OF DEFENSE (INTERNATIONAL SECURITY AFFAIRS),lexical_context_similarity
ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS,ASSISTANT TO SECRETARY OF DEFENSE (SPECIAL OPERATIONS),lexical_context_similarity
PRIME MINISTER NU,PRIME MINISTER U NU,lexical_context_similarity
KONG LE - PATHET LAO FORCES,KONG LE - PATHET LAO,lexical_context_similarity
INTERNATIONAL CONTROL COMMISSION FOR LAOS,INTERNATIONAL CONTROL COMMISSION,lexical_context_similarity
UNDER SECRETARY OF STATE FOR POLITICAL AFFAIRS,UNDER SECRETARY OF STATE,lexical_context_similarity
NEPALI CONGRESS PARTY,NEPALI CONGRESS,lexical_context_similarity
SOCIAL CHRISTIAN - LIBERAL GOVERNMENT,EYSKENS SOCIAL CHRISTIAN - LIBERAL GOVERNMENT,lexical_context_similarity
CATHOLIC CHURCH,ROMAN CATHOLIC CHURCH,lexical_context_similarity
CHANG GOVERNMENT,CHANG MYON GOVERNMENT,lexical_context_similarity
VICTOR PAZ ESTENSSORO,PAZ ESTENSSORO,lexical_context_similarity
ROYAL LAOTIAN GOVERNMENT,LAOTIAN GOVERNMENT,lexical_context_similarity
BOUN OUM - PHOUMI GOVERNMENT,BOUN OUM GOVERNMENT,lexical_context_similarity
B. P. KOIRALA,KOIRALA,lexical_context_similarity
NORTH VIETNAMESE,NORTH VIETNAMESE TROOPS,lexical_context_similarity
TSHOMBÉS KATANGA GOVERNMENT,TSHOMBÉS GOVERNMENT,lexical_context_similarity
COLONEL PORTILLO,COLONEL ANIBAL PORTILLO,lexical_context_similarity
UNION OF SOUTH AFRICA,SOUTH AFRICA,lexical_context_similarity
COLONIAL SECRETARY MACLEOD,BRITISH COLONIAL SECRETARY MACLEOD,lexical_context_similarity
BELGIAN TRUST TERRITORY OF RUANDA,BELGIAN TRUST TERRITORY OF RUANDA-URUNDI,lexical_context_similarity
HABIB BOURGUIBA,BOURGUIBA,lexical_context_similarity
CENTRAL COMMITTEE,SOVIET PARTY CENTRAL COMMITTEE,lexical_context_similarity
AMERICAN EMBASSY IN TUNIS,AMERICAN EMBASSY,lexical_context_similarity
SUSLOV,M. A. SUSLOV,lexical_context_similarity
QUADROS,JANIO QUADROS,lexical_context_similarity
SINO-SOVIET,SOVIET BLOC,lexical_context_similarity
DR. RODRIGUEZ PORTH,DR. JOSE ANTONIO RODRIGUEZ PORTH,lexical_context_similarity
AFRICAN REVOLUTIONARY FRONT FOR THE INDEPENDENCE OF PORTUGUESE COLONIES IN AFRICA,AFRICAN REVOLUTIONARY FRONT FOR THE NATIONAL INDEPENDENCE OF PORTUGUESE COLONIES,lexical_context_similarity
AMERICAN AMBASSADOR JOHNSON,AMERICAN AMBASSADOR,lexical_context_similarity
LT. COL. JULIO RIVERA,JULIO RIVERA,lexical_context_similarity
ALGERIAN PROVISIONAL GOVERNMENT (PAG),PROVISIONAL ALGERIAN GOVERNMENT,lexical_context_similarity
KHAMSOUK,KHAMSOUK KEOLA,lexical_context_similarity
XIENG KHOUANG,XIENG KHOUANG PROVINCE,lexical_context_similarity
CHIRIBOGA,JOSE CHIRIBOGA,lexical_context_similarity
ANGOLA PEOPLES UNION (UPA),ANGOLAN PEOPLES UNION (UPA),lexical_context_similarity
NU,U NU,lexical_context_similarity
COMMITTEE OF NATIONAL UNITY,COMMITTEE OF NATIONAL UNION,lexical_context_similarity
PATHET LAO - KONG LE FORCES,KONG LE - PATHET LAO,lexical_context_similarity
KONG LE/PATHET LAO FORCES,KONG LE - PATHET LAO,lexical_context_similarity
EQUATEUR,EQUATEUR PROVINCE,lexical_context_similarity
PHONG SALY,PHONG SALY PROVINCE,lexical_context_similarity
CHINESE NATIONALIST IRREGULAR FORCES,CHINESE NATIONALIST IRREGULARS,lexical_context_similarity
MUONG KASS,MUONG KASSY,lexical_context_similarity
SALVADOR,SAN SALVADOR,lexical_context_similarity
SOUVANNA,SOUVANNA PHOUMA,lexical_context_similarity
KASAVUBU GOVERNMENT,KASAVUBU/MOBUTU GOVERNMENT,lexical_context_similarity
GENERAL CHALLE,GENERAL MAURICE CHALLE,lexical_context_similarity
INDIAN CHAIRMAN,INDIAN CHAIRMAN OF THE ICC,lexical_context_similarity
OSCAR OSORIO,OSORIO,lexical_context_similarity
KIVU PROVINCES,KIVU PROVINCE,lexical_context_similarity
INDIAN AMBASSADOR,INDIAN AMBASSADOR RATNAM,lexical_context_similarity
SINO-SOVIET BLOC,SOVIET BLOC,lexical_context_similarity
ANSAR,ANSAR SECT,lexical_context_similarity
GREAT BRITAIN,BRITAIN,lexical_context_similarity
STANLEYVILLE REGIME,GIZENGAS STANLEYVILLE REGIME,lexical_context_similarity
KATANGA PROVINCE,KATANGA,lexical_context_similarity
SISOUMANG,TIAO SISOUMANG,lexical_context_similarity
CHINESE NATIONALIST IRREGULAR TROOPS,CHINESE NATIONALIST IRREGULARS,lexical_context_similarity
ALBERT KALONJI,KALONJI,lexical_context_similarity
SALAZARS NATIONAL UNION,NATIONAL UNION,lexical_context_similarity
BELGIAN MILITARY ADVISERS,BELGIAN MILITARY,lexical_context_similarity
PRESIDENT SUKARNO,INDONESIAN PRESIDENT SUKARNO,lexical_context_similarity
BOLIKANGO,JEAN BOLIKANGO,lexical_context_similarity
GIZENGAS REGIME,GIZENGA REGIME,lexical_context_similarity
AMERICAN EMBASSY AT CAPETOWN,AMERICAN EMBASSY,lexical_context_similarity
THA THOM AIRSTRIP,THA THOM,lexical_context_similarity
KONG LE/PATHET LAO,KONG LE - PATHET LAO,lexical_context_similarity
KONG LE FORCES,KONG LE - PATHET LAO,lexical_context_similarity
KENYATTA,JOMO KENYATTA,lexical_context_similarity
CHINA,COMMUNIST CHINA,lexical_context_similarity
MULELE,PIERRE MULELE,lexical_context_similarity
MINISTER OF DEFENSE MONIZ,DEFENSE MINISTER BOTELHO MONIZ,lexical_context_similarity
ALGERIAN GOVERNMENT,PROVISIONAL ALGERIAN GOVERNMENT,lexical_context_similarity
POPULAR SOCIALIST PARTY,CUBAN COMMUNISTS POPULAR SOCIALIST PARTY,lexical_context_similarity
ENRIQUE GALVAO,HENRIQUE GALVAO,lexical_context_similarity
LEFEVRE,THEO LEFEVRE,lexical_context_similarity
CASTRO,FIDEL CASTRO,lexical_context_similarity
EUROPEAN COMMON MARKET (EEC),COMMON MARKET,lexical_context_similarity
XIENG KOUANG,XIENG KHOUANG PROVINCE,lexical_context_similarity
CAMEROONS,BRITISH CAMEROONS,lexical_context_similarity
HOXHA,ENVER HOXHA,lexical_context_similarity
PHOUMIS FORCES,PHOUMI FORCES,lexical_context_similarity
AFONSO ARINOS,ARINOS,lexical_context_similarity
SANTA FE,SANTA FE PROVINCE,lexical_context_similarity
NEO LAO HAK-SAT,NEO LAO HAK SAT (NLHS),lexical_context_similarity
VILLEDA MORALES,VILLEDA,lexical_context_similarity
SHAH OF IRAN,SHAH,lexical_context_similarity
RHEE,SYNGMAN RHEE,lexical_context_similarity
FRENCH,FRENCH GOVERNMENT,lexical_context_similarity
SAM NEUA,SAM NEUA PROVINCE,lexical_context_similarity
SOVIET IL-14,SOVIET IL-14S,lexical_context_similarity
MOULAY HASSAN,CROWN PRINCE MOULAY HASSAN,lexical_context_similarity
INTERNATIONAL CONTROL COMMISSION (ICC),INTERNATIONAL CONTROL COMMISSION,lexical_context_similarity
QUINIM,QUINIM PHOLSENA,lexical_context_similarity
CHANCELLOR ADENAUER,ADENAUER,lexical_context_similarity
ANGOLA PEOPLES UNION,ANGOLAN PEOPLES UNION (UPA),lexical_context_similarity
NYERERE,JULIUS NYERERE,lexical_context_similarity
ALEXANDER,GENERAL ALEXANDER,person_title_variant
ANIBAL PORTILLO,COLONEL ANIBAL PORTILLO,person_title_variant
AUNG GYI,BRIGADIER AUNG GYI,person_title_variant
BANDARANAIKE,MRS. BANDARANAIKE,person_title_variant
BETANCOURT,PRESIDENT BETANCOURT,person_title_variant
CASTILLO NAVARRETE,COL. CASTILLO NAVARRETE,person_title_variant
COLONEL MOBUTU,MOBUTU,person_title_variant
DELGADO,GENERAL DELGADO,person_title_variant
DIEM,PRESIDENT DIEM,person_title_variant
EYSKENS,PREMIER EYSKENS,person_title_variant
FABIO CASTILLO,DR. FABIO CASTILLO,person_title_variant
FRONDIZI,PRESIDENT FRONDIZI,person_title_variant
GENERAL ABBOUD,ABBOUD,person_title_variant
GENERAL MCKEOWN,MCKEOWN,person_title_variant
GENERAL MOBUTU,MOBUTU,person_title_variant
GENERALISSIMO TRUJILLO,TRUJILLO,person_title_variant
HUSAYN,KING HUSAYN,person_title_variant
JOSE ANTONIO RODRIGUEZ PORTH,DR. JOSE ANTONIO RODRIGUEZ PORTH,person_title_variant
MAHENDRA,KING MAHENDRA,person_title_variant
MAUNG MAUNG,BRIGADIER MAUNG MAUNG,person_title_variant
MAURICE CHALLE,GENERAL MAURICE CHALLE,person_title_variant
MOHAMED V,KING MOHAMED V,person_title_variant
NE WIN,GENERAL NE WIN,person_title_variant
NGUYEN CHI THANH,GENERAL NGUYEN CHI THANH,person_title_variant
OUANE,GENERAL OUANE,person_title_variant
PAZ,PRESIDENT PAZ,person_title_variant
PHOUMI,GENERAL PHOUMI,person_title_variant
PREMIER FANFANI,FANFANI,person_title_variant
PREMIER NU,U NU,person_title_variant
PREMIER SALAZAR,SALAZAR,person_title_variant
PRESIDENT GURSEL,GURSEL,person_title_variant
PRESIDENT KASAVUBU,KASAVUBU,person_title_variant
PRESIDENT NASIR,NASIR,person_title_variant
PRESIDENT NKRUMAH,NKRUMAH,person_title_variant
PRESIDENT THOMAZ,THOMAZ,person_title_variant
PRESIDENT TSHOMBÉ,TSHOMBÉ,person_title_variant
PRESIDENT YDIGORAS,YDIGORAS,person_title_variant
PRINCE SOUVANNA PHOUMA,SOUVANNA PHOUMA,person_title_variant
SARIT,PREMIER SARIT,person_title_variant
SAUD,KING SAUD,person_title_variant
SIHANOUK,PRINCE SIHANOUK,person_title_variant
SOUPHANNOUVONG,PRINCE SOUPHANNOUVONG,person_title_variant
STEVENSON,AMBASSADOR STEVENSON,person_title_variant
THOMPSON,AMBASSADOR THOMPSON,person_title_variant
TIMBERLAKE,AMBASSADOR TIMBERLAKE,person_title_variant
TORANZO MONTERO,GENERAL TORANZO MONTERO,person_title_variant
VO NGUYEN GIAP,GENERAL VO NGUYEN GIAP,person_title_variant
ALGERIAN PROVISIONAL GOVERNMENT,PROVISIONAL ALGERIAN GOVERNMENT,token_bag_match
HOLDEN ROBERTO,ROBERTO HOLDEN,token_bag_match
IRAQ PETROLEUM COMPANY (IPC),IRAQ PETROLEUM COMPANY,parenthetical_base_match
NATIONAL LIBERATION FRONT (FLN),NATIONAL LIBERATION FRONT,parenthetical_base_match
ORGANIZATION OF AMERICAN STATES (OAS),ORGANIZATION OF AMERICAN STATES,parenthetical_base_match
CNU,COMMITTEE OF NATIONAL UNION,acronym_match
IPC,IRAQ PETROLEUM COMPANY,acronym_match
KADU,KENYA AFRICAN DEMOCRATIC UNION,acronym_match
KANU,KENYA AFRICAN NATIONAL UNION,acronym_match
US,UNITED STATES,acronym_match
USIB,UNITED STATES INTELLIGENCE BOARD,acronym_match
