normalized_label,canonical_label_current,mention_count,unique_docs,source_types,example_mentions,in_alias_dictionary
USSR,USSR,103,41,Country; Government,USSR,False
LAOS,LAOS,72,40,Country; Location,Laos,False
CONGO,CONGO,52,35,Country; Location,Congo,False
SOVIET UNION,SOVIET UNION,50,30,Country; Government,Soviet Union,False
GIZENGA,GIZENGA,48,30,Person; PoliticalGroup,Gizenga,False
COMMUNIST CHINA,COMMUNIST CHINA,48,29,Country; Government,Communist China,False
PATHET LAO,PATHET LAO,48,29,Military; PoliticalGroup,Pathet Lao,False
NATIONAL SECURITY AGENCY,NATIONAL SECURITY AGENCY,46,46,Organization,National Security Agency,False
PEIPING,PEIPING,46,28,Government; Location,Peiping,False
DIRECTOR,DIRECTOR,46,16,Person,Director,False
NATIONAL INDICATIONS CENTER,NATIONAL INDICATIONS CENTER,45,45,Organization,National Indications Center,False
ATOMIC ENERGY COMMISSION,ATOMIC ENERGY COMMISSION,44,44,Organization,Atomic Energy Commission,False
DEPARTMENT OF DEFENSE,DEPARTMENT OF DEFENSE,44,44,Government; Organization,Department of Defense,False
SOUVANNA PHOUMA,SOUVANNA PHOUMA,43,30,Person,Souvanna Phouma,False
FEDERAL BUREAU OF INVESTIGATION,FEDERAL BUREAU OF INVESTIGATION,41,41,Organization,Federal Bureau of Investigation,False
NORTH VIETNAM,NORTH VIETNAM,39,28,Country; Government,North Vietnam,False
UAR,UAR,38,21,Country; Government; Military; Organization; PoliticalGroup,UAR,False
KHRUSHCHEV,KHRUSHCHEV,37,18,Person,Khrushchev,False
UNITED STATES,UNITED STATES,33,27,Country,United States,False
HAMMARSKJOLD,HAMMARSKJOLD,32,22,Person,Hammarskjold,False
SECRETARY OF DEFENSE,SECRETARY OF DEFENSE,28,28,Person,Secretary of Defense,False
UN,UN,28,22,Organization,UN,False
KASAVUBU,KASAVUBU,28,19,Person,Kasavubu,False
LUMUMBA,LUMUMBA,28,19,Person,Lumumba,False
FRANCE,FRANCE,28,18,Country; Location,France,False
GENERAL PHOUMI,GENERAL PHOUMI,27,21,Person,General Phoumi,False
DEPARTMENT OF JUSTICE,DEPARTMENT OF JUSTICE,26,26,Government; Organization,Department of Justice,False
DEPARTMENT OF STATE,DEPARTMENT OF STATE,25,25,Government; Organization,Department of State,False
MOBUTU,MOBUTU,25,23,Person,Mobutu,False
TSHOMBÉ,TSHOMBÉ,25,16,Person,Tshombé,False
UNITED STATES INFORMATION AGENCY,UNITED STATES INFORMATION AGENCY,24,24,Organization,United States Information Agency,False
BELGIUM,BELGIUM,24,17,Country,Belgium,False
DE GAULLE,DE GAULLE,24,13,Person,De Gaulle,False
PORTUGAL,PORTUGAL,23,15,Country,Portugal,False
CUBA,CUBA,23,14,Country,Cuba,False
EAST GERMANY,EAST GERMANY,21,14,Country; Government; Location,East Germany,False
IRAQ,IRAQ,21,12,Country,Iraq,False
"ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY","ASSISTANT CHIEF OF STAFF FOR INTELLIGENCE, DEPARTMENT OF ARMY",20,20,Person,"Assistant Chief of Staff for Intelligence, Department of Army",False
"ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE","ASSISTANT CHIEF OF STAFF, INTELLIGENCE, DEPARTMENT OF THE AIR FORCE",20,20,Person,"Assistant Chief of Staff, Intelligence, Department of the Air Force",False
CENTRAL INTELLIGENCE BULLETIN,CENTRAL INTELLIGENCE BULLETIN,20,20,Document,CENTRAL INTELLIGENCE BULLETIN; Central Intelligence Bulletin,False
"CHAIRMAN, THE JOINT CHIEFS OF STAFF","CHAIRMAN, THE JOINT CHIEFS OF STAFF",20,20,Person,"Chairman, The Joint Chiefs of Staff",False
"CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY","CHIEF OF NAVAL OPERATIONS, UNITED STATES NAVY",20,20,Person,"Chief of Naval Operations, United States Navy",False
"CHIEF OF STAFF, UNITED STATES AIR FORCE","CHIEF OF STAFF, UNITED STATES AIR FORCE",20,20,Person,"Chief of Staff, United States Air Force",False
"CHIEF OF STAFF, UNITED STATES ARMY","CHIEF OF STAFF, UNITED STATES ARMY",20,20,Person,"Chief of Staff, United States Army",False
"COMMANDANT, UNITED STATES MARINE CORPS","COMMANDANT, UNITED STATES MARINE CORPS",20,20,Person,"Commandant, United States Marine Corps",False
"COMMANDER IN CHIEF, PACIFIC","COMMANDER IN CHIEF, PACIFIC",20,20,Military; Person,"Commander in Chief, Pacific",False
DEPUTY SECRETARY OF DEFENSE,DEPUTY SECRETARY OF DEFENSE,20,20,Person,Deputy Secretary of Defense,False
"DIRECTOR FOR INTELLIGENCE, THE JOINT STAFF","DIRECTOR FOR INTELLIGENCE, THE JOINT STAFF",20,20,Person,"Director for Intelligence, The Joint Staff",False
"DIRECTOR OF NAVAL INTELLIGENCE, DEPARTMENT OF NAVY","DIRECTOR OF NAVAL INTELLIGENCE, DEPARTMENT OF NAVY",20,20,Person,"Director of Naval Intelligence, Department of Navy",False
"DIRECTOR, THE JOINT STAFF","DIRECTOR, THE JOINT STAFF",20,20,Person,"Director, The Joint Staff",False
SECRETARY OF THE AIR FORCE,SECRETARY OF THE AIR FORCE,20,20,Person,Secretary of the Air Force,False
SECRETARY OF THE ARMY,SECRETARY OF THE ARMY,20,20,Person,Secretary of the Army,False
SECRETARY OF THE NAVY,SECRETARY OF THE NAVY,20,20,Person,Secretary of the Navy,False
"SUPREME ALLIED COMMANDER, EUROPE","SUPREME ALLIED COMMANDER, EUROPE",20,20,Military; Person,"Supreme Allied Commander, Europe",False
MOSCOW,MOSCOW,20,16,Location,Moscow,False
LEOPOLDVILLE,LEOPOLDVILLE,20,15,Location,Leopoldville,False
INDIA,INDIA,19,16,Country; Location,India,False
BURMA,BURMA,19,15,Country; Location,Burma,False
TSHOMBE,TSHOMBE,19,15,Person,Tshombe,False
ATTORNEY GENERAL,ATTORNEY GENERAL,17,17,Person,Attorney General,False
US,UNITED STATES,17,14,Country; Government,US,True
POLAND,POLAND,17,11,Country,Poland,False
NASIR,NASIR,17,9,Person,Nasir,False
CHAIRMAN,CHAIRMAN,16,16,Person,Chairman,False
KING SAVANG,KING SAVANG,16,13,Person,King Savang,False
ANGOLA,ANGOLA,16,11,Country; Location,Angola,False
INDONESIA,INDONESIA,16,10,Country,Indonesia,False
ASSISTANT SECRETARY OF DEFENSE (INTERNATIONAL SECURITY AFFAIRS),ASSISTANT SECRETARY OF DEFENSE (INTERNATIONAL SECURITY AFFAIRS),15,15,Person,Assistant Secretary of Defense (International Security Affairs),False
ASSISTANT TO SECRETARY OF DEFENSE (SPECIAL OPERATIONS),ASSISTANT TO SECRETARY OF DEFENSE (SPECIAL OPERATIONS),15,15,Person,Assistant to Secretary of Defense (Special Operations),False
KATANGA,KATANGA,15,14,Location,Katanga,False
VIENTIANE,VIENTIANE,15,14,Location,Vientiane,False
CHINA,COMMUNIST CHINA,15,12,Country,China,True
MOROCCO,MOROCCO,15,10,Country,Morocco,False
PHOUMI,GENERAL PHOUMI,14,12,Person,Phoumi,True
SOUTH VIETNAM,SOUTH VIETNAM,14,12,Country,South Vietnam,False
BOUN OUM GOVERNMENT,BOUN OUM GOVERNMENT,14,11,Government,Boun Oum government,False
PAKISTAN,PAKISTAN,14,8,Country,Pakistan,False
EL SALVADOR,EL SALVADOR,14,7,Country,El Salvador,False
JAPAN,JAPAN,14,5,Country,Japan,False
BOUN OUM,BOUN OUM,13,12,Government; Person,Boun Oum,False
KONG LE - PATHET LAO,KONG LE - PATHET LAO,13,12,Military; PoliticalGroup,Kong Le - Pathet Lao,False
STANLEYVILLE,STANLEYVILLE,13,11,Location,Stanleyville,False
ALGERIA,ALGERIA,13,9,Country; Location,Algeria,False
SALAZAR,SALAZAR,13,8,Person,Salazar,False
CHEN YI,CHEN YI,13,7,Person,Chen Yi,False
SOUTH KOREA,SOUTH KOREA,13,6,Country,South Korea,False
GHANA,GHANA,12,10,Country,Ghana,False
SUDAN,SUDAN,12,9,Country,Sudan,False
EXECUTIVE OFFICES OF THE WHITE HOUSE,EXECUTIVE OFFICES OF THE WHITE HOUSE,11,11,Organization,Executive Offices of the White House,False
HANOI,HANOI,11,11,Location,Hanoi,False
WEST GERMANY,WEST GERMANY,11,9,Country; Government,West Germany,False
BRAZIL,BRAZIL,11,8,Country,Brazil,False
THE PRESIDENT,THE PRESIDENT,10,10,Person,The President,False
THE VICE PRESIDENT,THE VICE PRESIDENT,10,10,Person,The Vice President,False
LUANG PRABANG,LUANG PRABANG,10,9,Location,Luang Prabang,False
CZECHOSLOVAKIA,CZECHOSLOVAKIA,10,8,Country,Czechoslovakia,False
MUONG KASSY,MUONG KASSY,10,8,Location,Muong Kassy,False
NEHRU,NEHRU,10,8,Person,Nehru,False
SEATO,SEATO,10,8,Organization; PoliticalGroup,SEATO,False
JORDAN,JORDAN,10,7,Country,Jordan,False
PHNOM PENH,PHNOM PENH,10,7,Location,Phnom Penh,False
ADENAUER,ADENAUER,10,5,Person,Adenauer,False
CEYLON,CEYLON,10,5,Country,Ceylon,False
DOMINICAN REPUBLIC,DOMINICAN REPUBLIC,10,5,Country,Dominican Republic,False
IRAN,IRAN,10,5,Country,Iran,False
DEPARTMENT OF COMMERCE,DEPARTMENT OF COMMERCE,9,9,Government; Organization,Department of Commerce,False
KONG LE,KONG LE,9,9,Military; Person; PoliticalGroup,Kong Le,False
PLAINE DES JARRES,PLAINE DES JARRES,9,9,Location,Plaine des Jarres,False
BONN,BONN,9,7,Government; Location,Bonn,False
QASIM,QASIM,9,7,Person,Qasim,False
ARAB LEAGUE,ARAB LEAGUE,9,5,Organization,Arab League,False
TUNISIA,TUNISIA,9,5,Country,Tunisia,False
ELISABETHVILLE,ELISABETHVILLE,8,8,Location,Elisabethville,False
REPUBLIC OF THE CONGO,REPUBLIC OF THE CONGO,8,8,Country,Republic of the Congo,False
SECRETARY OF STATE,SECRETARY OF STATE,8,8,Person,Secretary of State,False
INTERNATIONAL CONTROL COMMISSION,INTERNATIONAL CONTROL COMMISSION,8,7,Organization; Other,International Control Commission,False
LAOTIAN GOVERNMENT,LAOTIAN GOVERNMENT,8,7,Government,Laotian Government; Laotian government,False
PHOU KHOUN,PHOU KHOUN,8,7,Location,Phou Khoun,False
SUKARNO,SUKARNO,8,6,Person,Sukarno,False
BOURGUIBA,BOURGUIBA,8,5,Person,Bourguiba,False
ITALY,ITALY,8,5,Country,Italy,False
MONIZ,MONIZ,8,5,Person,Moniz,False
NORTH KOREA,NORTH KOREA,8,5,Country,North Korea,False
ALBANIA,ALBANIA,8,4,Country,Albania,False
NIGERIA,NIGERIA,8,4,Country,Nigeria,False
AMBASSADOR BROWN,AMBASSADOR BROWN,7,7,Person,Ambassador Brown,False
SECRETARY OF COMMERCE,SECRETARY OF COMMERCE,7,7,Person,Secretary of Commerce,False
SOUVANNA,SOUVANNA PHOUMA,7,7,Person; PoliticalGroup,Souvanna,True
THAILAND,THAILAND,7,7,Country; Location,Thailand,False
"U.S. REP., MILITARY COMMITTEE AND STANDING GROUP, NATO","U.S. REP., MILITARY COMMITTEE AND STANDING GROUP, NATO",7,7,Person,"U.S. Rep., Military Committee and Standing Group, NATO",False
XIENG KHOUANG PROVINCE,XIENG KHOUANG PROVINCE,7,7,Location,Xieng Khouang Province,False
CAIRO,CAIRO,7,6,Location,Cairo,False
CHIANG KAI-SHEK,CHIANG KAI-SHEK,7,6,Person,Chiang Kai-shek,False
LAOTIAN ARMY,LAOTIAN ARMY,7,6,Military,Laotian Army,False
BOMBOKO,BOMBOKO,7,5,Person,Bomboko,False
GREECE,GREECE,7,4,Country,Greece,False
TURKEY,TURKEY,7,4,Country,Turkey,False
COMMUNISTS,COMMUNISTS,6,6,PoliticalGroup,Communists,False
NATO,NATO,6,6,Organization,NATO,False
SOUTH AFRICA,SOUTH AFRICA,6,6,Country,South Africa,False
BURMESE ARMY,BURMESE ARMY,6,5,Military,Burmese Army,False
GUINEA,GUINEA,6,5,Country,Guinea,False
NATIONALIST CHINA,NATIONALIST CHINA,6,5,Country; Government,Nationalist China,False
THA THOM,THA THOM,6,5,Location,Tha Thom,False
XIENG KHOUANG,XIENG KHOUANG PROVINCE,6,5,Location,Xieng Khouang,True
PAG,PAG,6,4,PoliticalGroup,PAG,False
ASSISTANT SECRETARY OF DEFENSE FOR INTERNATIONAL SECURITY AFFAIRS,ASSISTANT SECRETARY OF DEFENSE (INTERNATIONAL SECURITY AFFAIRS),5,5,Person,Assistant Secretary of Defense for International Security Affairs,True
ASSISTANT TO SECRETARY OF DEFENSE FOR SPECIAL OPERATIONS,ASSISTANT TO SECRETARY OF DEFENSE (SPECIAL OPERATIONS),5,5,Person,Assistant to Secretary of Defense for Special Operations,True
CAMBODIA,CAMBODIA,5,5,Country,Cambodia,False
ILEO,ILEO,5,5,Person,Ileo,False
LUANDA,LUANDA,5,5,Location,Luanda,False
OAS,OAS,5,5,Organization,OAS,False
PRINCE SIHANOUK,PRINCE SIHANOUK,5,5,Person,Prince Sihanouk,False
PRINCE SOUPHANNOUVONG,PRINCE SOUPHANNOUVONG,5,5,Person,Prince Souphannouvong,False
RANGOON,RANGOON,5,5,Location,Rangoon,False
SIHANOUK,PRINCE SIHANOUK,5,5,Person,Sihanouk,True
SYRIA,SYRIA,5,5,Country,Syria,False
UN COMMAND,UN COMMAND,5,5,Organization,UN Command,False
UNITED NATIONS,UNITED NATIONS,5,5,Organization,United Nations,False
VANG VIENG,VANG VIENG,5,5,Location,Vang Vieng,False
AMERICAN EMBASSY,AMERICAN EMBASSY,5,4,Organization,American Embassy,False
BRITAIN,BRITAIN,5,4,Country; Government,Britain,False
CHINESE NATIONALIST IRREGULARS,CHINESE NATIONALIST IRREGULARS,5,4,Military,Chinese Nationalist irregulars; Chinese Nationalist Irregulars,False
GROMYKO,GROMYKO,5,4,Person,Gromyko,False
JANIO QUADROS,JANIO QUADROS,5,4,Person,Janio Quadros,False
KONG LE - PATHET LAO FORCES,KONG LE - PATHET LAO,5,4,Military,Kong Le - Pathet Lao forces,True
NEPAL,NEPAL,5,4,Country,Nepal,False
NKRUMAH,NKRUMAH,5,4,Person,Nkrumah,False
PRESIDENT DIEM,PRESIDENT DIEM,5,4,Person,President Diem,False
TAIWAN,TAIWAN,5,4,Country; Location,Taiwan,False
AFGHANISTAN,AFGHANISTAN,5,3,Country,Afghanistan,False
AMBASSADOR THOMPSON,AMBASSADOR THOMPSON,5,3,Person,Ambassador Thompson,False
CHANG MYON,CHANG MYON,5,3,Person,Chang Myon,False
FERHAT ABBAS,FERHAT ABBAS,5,3,Person,Ferhat Abbas,False
KIVU PROVINCE,KIVU PROVINCE,5,3,Location,Kivu Province,False
OSORIO,OSORIO,5,3,Person,Osorio,False
TRUJILLO,TRUJILLO,5,3,Person,Trujillo,False
CHILE,CHILE,5,2,Country,Chile,False
ARGENTINA,ARGENTINA,4,4,Country,Argentina,False
BALUBA,BALUBA,4,4,Other; PoliticalGroup,Baluba,False
BRUSSELS,BRUSSELS,4,4,Location,Brussels,False
COMMUNIST PARTY,COMMUNIST PARTY,4,4,PoliticalGroup,Communist Party; Communist party,False
DAR ES SALAAM,DAR ES SALAAM,4,4,Location,Dar es Salaam,False
EEC,EEC,4,4,Organization,EEC,False
FIDEL CASTRO,FIDEL CASTRO,4,4,Person,Fidel Castro,False
GENERAL LUNDULA,GENERAL LUNDULA,4,4,Person,General Lundula,False
GENERAL NASUTION,GENERAL NASUTION,4,4,Person,General Nasution,False
HAIPHONG,HAIPHONG,4,4,Location,Haiphong,False
LEOPOLDVILLE GOVERNMENT,LEOPOLDVILLE GOVERNMENT,4,4,Government,Leopoldville government,False
LISBON,LISBON,4,4,Location,Lisbon,False
MALI,MALI,4,4,Country,Mali,False
NAM BAC,NAM BAC,4,4,Location,Nam Bac,False
NEW DELHI,NEW DELHI,4,4,Location,New Delhi,False
PHONG SALY PROVINCE,PHONG SALY PROVINCE,4,4,Location,Phong Saly Province,False
PRIME MINISTER QASIM,PRIME MINISTER QASIM,4,4,Person,Prime Minister Qasim,False
SOVIET BLOC,SOVIET BLOC,4,4,Organization; PoliticalGroup,Soviet bloc,False
TAIPEI,TAIPEI,4,4,Location,Taipei,False
TANANARIVE,TANANARIVE,4,4,Location,Tananarive,False
TREASURY DEPARTMENT,TREASURY DEPARTMENT,4,4,Organization,Treasury Department,False
TYURA TAM,TYURA TAM,4,4,Location,Tyura Tam,False
UNITED KINGDOM,UNITED KINGDOM,4,4,Country,United Kingdom,False
US EMBASSY,US EMBASSY,4,4,Organization,US Embassy; US embassy,False
WARSAW,WARSAW,4,4,Location,Warsaw,False
WEST BERLIN,WEST BERLIN,4,4,Location,West Berlin,False
AUSTRIA,AUSTRIA,4,3,Country,Austria,False
BAGHDAD,BAGHDAD,4,3,Location,Baghdad,False
CHOU EN-LAI,CHOU EN-LAI,4,3,Person,Chou En-lai,False
COMMITTEE OF NATIONAL UNION,COMMITTEE OF NATIONAL UNION,4,3,PoliticalGroup,Committee of National Union,False
COMMON MARKET,COMMON MARKET,4,3,Organization,Common Market,False
ETHIOPIA,ETHIOPIA,4,3,Country,Ethiopia,False
FROL KOZLOV,FROL KOZLOV,4,3,Person,Frol Kozlov,False
GENERAL NE WIN,GENERAL NE WIN,4,3,Person,General Ne Win,False
GIZENGA REGIME,GIZENGA REGIME,4,3,Government; PoliticalGroup,Gizenga regime,False
KENYA,KENYA,4,3,Country,Kenya,False
PEOPLES DAILY,PEOPLES DAILY,4,3,Document; Organization,People's Daily,False
PORTUGUESE GOVERNMENT,PORTUGUESE GOVERNMENT,4,3,Government,Portuguese Government,False
SALAZAR REGIME,SALAZAR REGIME,4,3,Government; PoliticalGroup,Salazar Regime; Salazar regime,False
SAUDI ARABIA,SAUDI ARABIA,4,3,Country,Saudi Arabia,False
SOCIALIST PARTY,SOCIALIST PARTY,4,3,PoliticalGroup,Socialist party; Socialist Party,False
UN GENERAL ASSEMBLY,UN GENERAL ASSEMBLY,4,3,Organization,UN General Assembly,False
AYUB,AYUB,4,2,Person,Ayub,False
COLOMBIA,COLOMBIA,4,2,Country,Colombia,False
ECUADOR,ECUADOR,4,2,Country,Ecuador,False
IKEDA,IKEDA,4,2,Person,Ikeda,False
KING MAHENDRA,KING MAHENDRA,4,2,Person,King Mahendra,False
LIBYA,LIBYA,4,2,Country,Libya,False
PORTUGUESE GUINEA,PORTUGUESE GUINEA,4,2,Location,Portuguese Guinea,False
SPAIN,SPAIN,4,1,Country,Spain,False
AMERICAN AMBASSADOR,AMERICAN AMBASSADOR,3,3,Person,American ambassador,False
BAN TA VIANG,BAN TA VIANG,3,3,Location,Ban Ta Viang,False
BOTELHO MONIZ,BOTELHO MONIZ,3,3,Person,Botelho Moniz,False
BRITISH,BRITISH,3,3,Government; PoliticalGroup,British,False
BURMESE GOVERNMENT,BURMESE GOVERNMENT,3,3,Government,Burmese Government,False
CASTRO REGIME,CASTRO REGIME,3,3,Government,Castro regime,False
CHANCELLOR ADENAUER,ADENAUER,3,3,Person,Chancellor Adenauer,True
CHINESE COMMUNISTS,CHINESE COMMUNISTS,3,3,PoliticalGroup,Chinese Communists,False
CONGRESS PARTY,CONGRESS PARTY,3,3,PoliticalGroup,Congress party,False
DAYAL,DAYAL,3,3,Person,Dayal,False
DIEM GOVERNMENT,DIEM GOVERNMENT,3,3,Government,Diem government,False
DJAKARTA,DJAKARTA,3,3,Location,Djakarta,False
EGYPT,EGYPT,3,3,Country,Egypt,False
EQUATEUR PROVINCE,EQUATEUR PROVINCE,3,3,Location,Equateur Province,False
FRENCH FOREIGN MINISTRY,FRENCH FOREIGN MINISTRY,3,3,Organization,French Foreign Ministry,False
HAINAN ISLAND,HAINAN ISLAND,3,3,Location,Hainan Island,False
ILEO GOVERNMENT,ILEO GOVERNMENT,3,3,Government,Ileo government,False
IRAQ PETROLEUM COMPANY,IRAQ PETROLEUM COMPANY,3,3,Organization,Iraq Petroleum Company,False
JASON SENDWE,JASON SENDWE,3,3,Person,Jason Sendwe,False
KALONJI,KALONJI,3,3,Person,Kalonji,False
KAMITATU,KAMITATU,3,3,Person,Kamitatu,False
KING HUSAYN,KING HUSAYN,3,3,Person,King Husayn,False
KONG LE/PATHET LAO FORCES,KONG LE - PATHET LAO,3,3,Military; PoliticalGroup,Kong Le/Pathet Lao forces,True
KUZNETSOV,KUZNETSOV,3,3,Person,Kuznetsov,False
LIBERAL PARTY,LIBERAL PARTY,3,3,PoliticalGroup,Liberal party,False
MALAYA,MALAYA,3,3,Country,Malaya,False
MUONG SAI,MUONG SAI,3,3,Location,Muong Sai,False
PAK SANE,PAK SANE,3,3,Location,Pak Sane,False
QUINIM PHOLSENA,QUINIM PHOLSENA,3,3,Person,Quinim Pholsena,False
RUANDA-URUNDI,RUANDA-URUNDI,3,3,Location,Ruanda-Urundi,False
SEOUL,SEOUL,3,3,Location,Seoul,False
SHAH,SHAH,3,3,Person,Shah,False
SHARIF-EMAMI,SHARIF-EMAMI,3,3,Person,Sharif-Emami,False
SYNGMAN RHEE,SYNGMAN RHEE,3,3,Person,Syngman Rhee,False
TOURÉ,TOURÉ,3,3,Person,Touré,False
TRINQUIER,TRINQUIER,3,3,Person,Trinquier,False
ULBRICHT,ULBRICHT,3,3,Person,Ulbricht,False
UNDER SECRETARY OF STATE,UNDER SECRETARY OF STATE,3,3,Person,Under Secretary of State,False
